ber,did,mic,pas,pat,sas,yan
42,45,45,76,34,49,31
13,23,25,25,55,27,24
49,52,47,52,70,70,54
38,33,54,41,40,50,29
48,41,59,36,48,54,29
18,21,32,29,16,37,29
28,44,55,35,33,45,43
1,70,20,64,21,7,38
22,63,49,57,32,35,18
14,17,51,33,37,24,40
26,40,73,46,30,18,45
29,7,50,24,21,50,48
30,8,53,21,36,38,27
49,36,41,20,27,45,14
34,76,39,49,36,37,64
12,38,37,6,25,32,13
22,34,51,20,31,11,16
51,69,28,41,33,26,45
35,41,43,31,52,32,35
15,21,59,41,39,22,19
25,30,39,25,24,30,42
21,29,25,29,38,18,41
80,32,37,40,42,36,42
46,42,50,52,42,33,43
33,40,38,35,36,34,19
62,78,73,46,39,48,64
12,15,34,18,21,13,7
6,25,42,10,14,28,63
84,34,36,58,4,12,32
-2,17,17,30,11,10,9
41,51,28,64,25,32,46
32,11,50,36,34,28,24
41,18,59,33,44,7,27
37,65,46,44,31,25,43
